wavenumber,PS 0.1ppm-1,PS 0.1ppm-2,PS 0.1ppm-3,PS 0.5ppm-1,PS 0.5ppm-2,PS 0.5ppm-3,PS 1.0ppm-1,PS 1.0ppm-2,PS 1.0ppm-3,PS 5ppm-1,PS 5ppm-2,PS 5ppm-3,PS 10ppm-1,PS 10ppm-2,PS 10ppm-3,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS 100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
670.37,28.37,55.77,37.33,30.05,0.44,31.03,53.02,32.53,45.18,53.4,80.07,52.9,83.91,89.09,86.35,80.34,121.68,65.83,173.64,153.31,160.68,122.9,163.54,156.91
672.4,1,21.7,26.39,0,14.37,31.03,18.47,9.56,23.4,8.37,16.03,11.46,31.18,30.44,24.57,19.08,27.76,6.83,48.25,58.42,54.58,31.92,54.75,36.93
674.42,0,0,3.09,20.88,22.22,23.43,14.64,0,18.69,12.77,18.1,25.87,0,0,0,4.2,9.27,1.33,16.46,10.33,11.35,0,8.32,0
676.45,17.98,10.97,11.62,33.12,29.64,22.37,19.86,32.01,35.66,57.51,35.17,58.71,26.96,26.2,31.73,35.14,79.3,36.75,62.71,49.1,62.44,54.29,43.86,9.99
678.47,17.98,11.89,14.69,88.37,30.6,22.37,37.98,43.93,35.66,77.21,72.54,74.85,47.97,26.2,31.73,35.14,79.3,36.75,62.71,49.1,62.44,54.29,43.86,9.99
680.49,33.45,11.89,14.69,73.97,39.22,0,23.34,43.93,16.97,64.44,54.44,48.98,47.97,26.2,31.73,30.94,70.03,35.42,46.24,38.78,51.09,54.29,35.55,9.99
682.51,15.47,13.77,9.21,61.73,31.8,30.09,18.12,27,0,29.31,49.64,22.19,21.01,0,0,1.41,21.89,41.61,27.82,24.03,39.87,10.84,16.15,15.88
684.53,31.79,24.44,45.51,21.9,18.98,63.72,45.6,40.5,34.85,83.59,61.25,64.15,44.31,28.53,53.13,90.95,115.26,147.02,123.79,110.23,110.18,112.95,93.26,114.03
686.55,29.61,32.99,45.51,15.42,2.07,90.12,59.11,73.17,63.97,111.18,108.17,112.53,107.62,97.38,108.6,143.82,193.32,237.12,190.14,190.46,173.49,194.2,187.19,173.65
688.57,35.89,20.15,54.49,15.42,8.75,76.55,59.11,58.1,90.02,119.43,125.42,117.45,128.25,137.56,121.41,168.59,221.48,239.94,190.02,181.35,193.56,215.74,191.13,195.2
690.58,30.39,41.27,41.25,32.72,7.4,71.09,29.69,61.71,85.72,89.1,121.41,95.79,103.44,109.03,68.29,139.1,163.05,204.17,152.63,126.98,176.04,173.36,148.8,142.83
